"Skill","Case","Board","Visual / 40","Interaction / 40","Usability / 20","Total / 100","Pass","Score basis","Final version verified","Notes"
"game-ui-frontend","乙游3D","menu","39","40","20","99","true","pre-acceptance-snapshot","false","已评审快照：菜单位置和纸签形状接近原图，三项导航及悬停可用。 / 最终接收版：接收版调整了方向键焦点过滤，删除了未被当前分支使用的旧素材；未追加浏览器验收。"
"game-ui-frontend","乙游3D","choice","36","35","18","89","true","pre-acceptance-snapshot","false","已评审快照：问题条基本还原；选项纸面、折角和悬停阴影被简化或改变。 / 手机采用横向可滚动的固定比例场景，字号可读，但部分问题、选项或详情需要横向平移才能同时查看。 / 最终接收版：接收版调整了方向键焦点过滤，删除了未被当前分支使用的旧素材；未追加浏览器验收。 / 最终接收版：c04/c05 的选中图片已更改；保留旧快照分数，不凭代码推测改善幅度。"
"game-ui-frontend","乙游3D","route","37","36","18","91","true","pre-acceptance-snapshot","false","已评审快照：五节点、首图和选中分支完整，但连线箭头偏粗，节点状态印记经过重绘。 / 手机采用横向可滚动的固定比例场景，字号可读，但部分问题、选项或详情需要横向平移才能同时查看。 / 最终接收版：接收版调整了方向键焦点过滤，删除了未被当前分支使用的旧素材；未追加浏览器验收。"
"game-ui-frontend","乙游3D","character","34","32","17","83","true","pre-acceptance-snapshot","false","已评审快照：卷轴、肖像和文字版面被简化，展开正文左沿局部被装订结构遮挡。 / 已评审快照：鼠标点击收起后，角色会重新展开；Esc 可以收起。所有角色悬停及手机选择可以触发。 / 手机采用横向可滚动的固定比例场景，字号可读，但部分问题、选项或详情需要横向平移才能同时查看。 / 最终接收版：接收版调整了方向键焦点过滤，删除了未被当前分支使用的旧素材；未追加浏览器验收。 / 最终接收版：接收版把 focus 放在收起之前，旧快照的焦点重新展开路径已改变；鼠标布局变化的影响未复测，旧扣分不能视为最终版故障确认。"
"game-ui-frontend","乙游3D","ending","35","37","18","90","true","pre-acceptance-snapshot","false","已评审快照：完成提示、其它结局和三张推荐齐全，纸卷和状态框体简化。 / 手机采用横向可滚动的固定比例场景，字号可读，但部分问题、选项或详情需要横向平移才能同时查看。 / 最终接收版：接收版调整了方向键焦点过滤，删除了未被当前分支使用的旧素材；未追加浏览器验收。 / 最终接收版：接收版附带候选自检记录：155 项中 6 个手机 Ending 弹窗断言失败。属于候选报告，未独立重跑，未据此虚构新的验证结论。"
"game-ui-frontend","写实古风","menu","39","36","20","95","true","pre-acceptance-snapshot","false","已评审快照：木质菜单接近原图，但非选中状态使用整张组件灰度及亮度滤镜，状态材质与原 Board 有差异。 / 最终接收版：接收版调整了方向键焦点过滤，删除了未被当前分支使用的旧素材；未追加浏览器验收。"
"game-ui-frontend","写实古风","choice","36","39","18","93","true","pre-acceptance-snapshot","false","已评审快照：左选项字重、长度和边缘比例不同，选择、返回和继续流程可用。 / 手机采用横向可滚动的固定比例场景，字号可读，但部分问题、选项或详情需要横向平移才能同时查看。 / 最终接收版：接收版调整了方向键焦点过滤，删除了未被当前分支使用的旧素材；未追加浏览器验收。 / 最终接收版：c04/c05 的选中图片已更改；保留旧快照分数，不凭代码推测改善幅度。"
"game-ui-frontend","写实古风","route","38","38","18","94","true","pre-acceptance-snapshot","false","已评审快照：透明节点、首图与分支位置接近，状态印记和边框细节略有不同。 / 手机采用横向可滚动的固定比例场景，字号可读，但部分问题、选项或详情需要横向平移才能同时查看。 / 最终接收版：接收版调整了方向键焦点过滤，删除了未被当前分支使用的旧素材；未追加浏览器验收。"
"game-ui-frontend","写实古风","character","35","32","18","85","true","pre-acceptance-snapshot","false","已评审快照：人物构图和关系文字齐全，书脊、纸面及展开页层级有所简化。 / 已评审快照：鼠标点击收起后，角色会重新展开；Esc 可以收起。所有角色悬停及手机选择可以触发。 / 手机采用横向可滚动的固定比例场景，字号可读，但部分问题、选项或详情需要横向平移才能同时查看。 / 最终接收版：接收版调整了方向键焦点过滤，删除了未被当前分支使用的旧素材；未追加浏览器验收。 / 最终接收版：接收版把 focus 放在收起之前，旧快照的焦点重新展开路径已改变；鼠标布局变化的影响未复测，旧扣分不能视为最终版故障确认。"
"game-ui-frontend","写实古风","ending","32","36","18","86","true","pre-acceptance-snapshot","false","已评审快照：完成横幅和推荐框使用平直框体，缺少玉石、纸框及印记细节。 / 手机采用横向可滚动的固定比例场景，字号可读，但部分问题、选项或详情需要横向平移才能同时查看。 / 最终接收版：接收版调整了方向键焦点过滤，删除了未被当前分支使用的旧素材；未追加浏览器验收。 / 最终接收版：接收版附带候选自检记录：155 项中 6 个手机 Ending 弹窗断言失败。属于候选报告，未独立重跑，未据此虚构新的验证结论。"
"game-ui-frontend","半写实真人","menu","39","40","20","99","true","pre-acceptance-snapshot","false","已评审快照：铅笔纸片菜单基本还原，三项导航和悬停可用。 / 最终接收版：接收版调整了方向键焦点过滤，删除了未被当前分支使用的旧素材；未追加浏览器验收。"
"game-ui-frontend","半写实真人","choice","39","39","18","96","true","pre-acceptance-snapshot","false","已评审快照：题签、两张底部选项及选择流程接近原图。 / 手机采用横向可滚动的固定比例场景，字号可读，但部分问题、选项或详情需要横向平移才能同时查看。 / 最终接收版：接收版调整了方向键焦点过滤，删除了未被当前分支使用的旧素材；未追加浏览器验收。 / 最终接收版：c04/c05 的选中图片已更改；保留旧快照分数，不凭代码推测改善幅度。"
"game-ui-frontend","半写实真人","route","35","37","18","90","true","pre-acceptance-snapshot","false","已评审快照：节点框体与夹子简化，编号、标题和选中线条层级存在偏差。 / 手机采用横向可滚动的固定比例场景，字号可读，但部分问题、选项或详情需要横向平移才能同时查看。 / 最终接收版：接收版调整了方向键焦点过滤，删除了未被当前分支使用的旧素材；未追加浏览器验收。"
"game-ui-frontend","半写实真人","character","35","32","18","85","true","pre-acceptance-snapshot","false","已评审快照：四位角色及展开正文完整，但卡片金属夹与纸面细节简化。 / 已评审快照：鼠标点击收起后，角色会重新展开；Esc 可以收起。所有角色悬停及手机选择可以触发。 / 手机采用横向可滚动的固定比例场景，字号可读，但部分问题、选项或详情需要横向平移才能同时查看。 / 最终接收版：接收版调整了方向键焦点过滤，删除了未被当前分支使用的旧素材；未追加浏览器验收。 / 最终接收版：接收版把 focus 放在收起之前，旧快照的焦点重新展开路径已改变；鼠标布局变化的影响未复测，旧扣分不能视为最终版故障确认。"
